"ACCOUNTNUMBER","ACCOUNTSOURCE","ACTIVE__C","ANNUALREVENUE","BILLINGCITY","BILLINGADDRESS","YEARSTARTED","WEBSITE","UPSELLOPPORTUNITY__C","TYPE","TRADESTYLE","TICKERSYMBOL","SYSTEMMODSTAMP","SITE","SICDESC","SIC","SHIPPINGSTREET","SHIPPINGSTATE","SHIPPINGPOSTALCODE","SHIPPINGLONGITUDE","SHIPPINGLATITUDE","SHIPPINGGEOCODEACCURACY","SHIPPINGCITY","SHIPPINGCOUNTRY","SHIPPINGADDRESS","SEGMENT__C","SLA__C","SLASERIALNUMBER__C","SLAEXPIRATIONDATE__C","RATING","PHOTOURL","PHONE","PARENTID","OWNERSHIP","OWNERID","NUMBEROFLOCATIONS__C","NUMBEROFEMPLOYEES","BILLINGCOUNTRY","BILLINGGEOCODEACCURACY","BILLINGLATITUDE","BILLINGLONGITUDE","BILLINGPOSTALCODE","BILLINGSTATE","BILLINGSTREET","CLEANSTATUS","CREATEDBYID","CREATEDDATE","CUSTOMERPRIORITY__C","DANDBCOMPANYID","DUNSNUMBER","FAX","DESCRIPTION","ID","INDUSTRY","ISDELETED","JIGSAW","JIGSAWCOMPANYID","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","MASTERRECORDID","NAICSCODE","NAME","NAICSDESC"
"","Advertisement","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","1610","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKQRAA3","","","","0052w00000BXXA3AAP","","5000","United Kingdom","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQRAA3","Utilities","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Salazar150 Inc",""
"","Word of mouth","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","1629","","","","","","","","","","GB","","","","","/services/images/photo/0012w00001BpKQSAA3","","","","0052w00000BXX9mAAH","","5000","Russian","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQSAA3","Transportation","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","McGuire151 Inc",""
"","Advertisement","","1000000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","2400","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKQTAA3","","","","0052w00000BXX9yAAH","","5000","Canada","","","","","HI","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQTAA3","Electronics","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Butler152 Inc",""
"","Employee Referral","","1000000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","3220","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKQUAA3","","","","0052w00000BXX9nAAH","","5000","Italy","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQUAA3","Education","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Miles153 Inc",""
"","Trade Show","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","1610","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKQVAA3","","","","0052w00000BXX9lAAH","","5000","Korea","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQVAA3","Apparel","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Mann154 Inc",""
"","Advertisement","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","1629","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKQWAA3","","","","0052w00000BXX9nAAH","","5000","Switzerland","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQWAA3","Banking","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Reyes155 Inc",""
"","Public Relations","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","2400","","","","","","","","","","ENT","","","","","/services/images/photo/0012w00001BpKQXAA3","","","","0052w00000BXXA2AAP","","5000","Italy","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQXAA3","Healthcare","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Nguyen156 Inc",""
"","Partner","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","3220","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKQYAA3","","","","0052w00000BXXA2AAP","","5000","Spain","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQYAA3","Communications","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Fletcher157 Inc",""
"","Employee Referral","","1000000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","1610","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKQZAA3","","","","0052w00000BXX9uAAH","","5000","Korea","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQZAA3","Biotechnology","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Parsons158 Inc",""
"","Employee Referral","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","1629","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKQaAAN","","","","0052w00000BXX9uAAH","","5000","Brazil","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQaAAN","Media","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Flores159 Inc",""
"","Employee Referral","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","2400","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKQbAAN","","","","0052w00000BXX9nAAH","","5000","France","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQbAAN","Education","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Shaw160 Inc",""
"","Partner","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","3220","","","","","","","","","","ESMB","","","","","/services/images/photo/0012w00001BpKQcAAN","","","","0052w00000BXX9qAAH","","5000","India","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQcAAN","Education","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Dawson161 Inc",""
"","Employee Referral","","1000000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","1610","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKQdAAN","","","","0052w00000BXX9vAAH","","5000","Korea","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQdAAN","Technology","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","McCarthy162 Inc",""
"","Word of mouth","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","1629","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKQeAAN","","","","0052w00000BXXA0AAP","","5000","Russian","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQeAAN","Media","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Lopez363 Inc",""
"","Public Relations","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","2400","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKQfAAN","","","","0052w00000BXX9yAAH","","5000","Normway","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQfAAN","Insurance","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Ross364 Inc",""
"","Partner","","1000000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","74100","","","","","","","","","","ESMB","","","","","/services/images/photo/0012w00001BpKQgAAN","","","","0052w00000BXX9sAAH","","5000","USA","","","","","WV","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQgAAN","Banking","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Luna365 Inc",""
"","Web","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","47710","","","","","","","","","","ENT","","","","","/services/images/photo/0012w00001BpKQhAAN","","","","0052w00000BXX9nAAH","","5000","Canada","","","","","NY","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQhAAN","Technology","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Moreno366 Inc",""
"","Web","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","47721","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKQiAAN","","","","0052w00000BXX9sAAH","","5000","Turkey","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQiAAN","Healthcare","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Clarke367 Inc",""
"","Partner","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","47722","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKQjAAN","","","","0052w00000BXXA3AAP","","5000","USA","","","","","ID","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQjAAN","Biotechnology","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Dunn368 Inc",""
"","Employee Referral","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","74100","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKQkAAN","","","","0052w00000BXX9nAAH","","5000","Canada","","","","","CO","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQkAAN","Media","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Coleman369 Inc",""
"","Advertisement","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","47710","","","","","","","","","","GB","","","","","/services/images/photo/0012w00001BpKQlAAN","","","","0052w00000BXX9wAAH","","5000","Hong Kong","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQlAAN","Finance","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Beck370 Inc",""
"","Word of mouth","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","47721","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKQmAAN","","","","0052w00000BXX9nAAH","","5000","Brazil","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQmAAN","Insurance","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Dennis371 Inc",""
"","Word of mouth","","1000000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","47722","","","","","","","","","","GB","","","","","/services/images/photo/0012w00001BpKQnAAN","","","","0052w00000BXX9nAAH","","5000","USA","","","","","HI","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQnAAN","Consulting","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Abbott372 Inc",""
"","Employee Referral","","1000000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","74100","","","","","","","","","","ESMB","","","","","/services/images/photo/0012w00001BpKQoAAN","","","","0052w00000BXX9rAAH","","5000","Japan","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQoAAN","Education","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Duncan373 Inc",""
"","Employee Referral","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","47710","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKQpAAN","","","","0052w00000BXX9yAAH","","5000","USA","","","","","DE","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQpAAN","Agriculture","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Fuller374 Inc",""
"","Web","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","47721","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKQqAAN","","","","0052w00000BXX9zAAH","","5000","Canada","","","","","UT","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQqAAN","Insurance","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Klein375 Inc",""
