"ACCOUNTID","AMOUNT","CAMPAIGNID","CLOSEDATE","CONTACTID","CREATEDBYID","CREATEDDATE","CURRENTGENERATORS__C","DELIVERYINSTALLATIONSTATUS__C","DESCRIPTION","EXPECTEDREVENUE","FISCAL","FISCALQUARTER","FISCALYEAR","FORECASTCATEGORY","FORECASTCATEGORYNAME","HASOPPORTUNITYLINEITEM","HASOPENACTIVITY","HASOVERDUETASK","ID","ISCLOSED","ISDELETED","ISPRIVATE","ISWON","LASTACTIVITYDATE","LASTAMOUNTCHANGEDHISTORYID","LASTCLOSEDATECHANGEDHISTORYID","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTSTAGECHANGEDATE","LASTVIEWEDDATE","LEADSOURCE","MAINCOMPETITORS__C","NAME","NEXTSTEP","OPPORTUNITY_SOURCE__C","ORDERNUMBER__C","OWNERID","PRICEBOOK2ID","PROBABILITY","PUSHCOUNT","RECORDTYPEID","STAGENAME","SYSTEMMODSTAMP","TOTALOPPORTUNITYQUANTITY","TRACKINGNUMBER__C","TYPE"
"0012w00001Cq74gAAB","846000.0","","2022-08-21","","0052w00000B4VTyAAN","2022-01-01T00:00:00.000Z","","","","846000.0","2022 3","3","2022","Closed","Closed","true","false","false","0062w00000GjfE8AAJ","true","false","false","true","","","","0052w00000B4VTyAAN","2023-01-12T23:34:01.000Z","","","","Word of mouth","","Opportunity for Terry269","","AE","","0052w00000BXX9pAAH","01s2w00000J2EzPAAV","100.0","0","0122w000001Ypd0AAC","Closed Won","2023-01-12T23:34:01.000Z","1692.0","","New Business / Add-on"
"0012w00001Cq6yZAAR","582035.0","","2023-04-11","","0052w00000B4VTyAAN","2022-11-12T00:00:00.000Z","","","","58203.5","2023 2","2","2023","Pipeline","Pipeline","true","true","false","0062w00000GjfEAAAZ","false","false","false","false","2023-01-11","0082w00000rVzRlAAK","","0052w00000B4VTyAAN","2023-01-12T23:34:06.000Z","","","","Partner","","Opportunity for Collier276","","AE","","0052w00000BXX9rAAH","01s2w00000J2EzPAAV","10.0","0","0122w000001Ypd0AAC","Qualification","2023-01-12T23:34:13.000Z","2684.0","","New Business / Add-on"
"0012w00001Cq72rAAB","18960.0","","2022-08-01","","0052w00000B4VTyAAN","2022-05-13T00:00:00.000Z","","","","18960.0","2022 3","3","2022","Closed","Closed","true","false","false","0062w00000GjfECAAZ","true","false","false","true","","","","0052w00000B4VTyAAN","2023-01-12T23:33:57.000Z","","","","Seminar - Internal","","Opportunity for Alexander278","","AE","","0052w00000BXX9tAAH","01s2w00000J2EzPAAV","100.0","0","0122w000001Ypd0AAC","Closed Won","2023-01-12T23:33:57.000Z","474.0","","New Business"
"0012w00001Cq77hAAB","1573350.0","","2023-06-24","","0052w00000B4VTyAAN","2023-01-05T00:00:00.000Z","","","","157335.0","2023 2","2","2023","Pipeline","Pipeline","true","true","true","0062w00000GjfEDAAZ","false","false","false","false","2022-12-10","","","0052w00000B4VTyAAN","2023-01-12T23:33:57.000Z","","","","Partner","","Opportunity for Allison281","","Alliances","","0052w00000BXX9qAAH","01s2w00000J2EzPAAV","10.0","0","0122w000001Ypd0AAC","Qualification","2023-01-12T23:34:13.000Z","1851.0","","New Business / Add-on"
"0012w00001Cq76rAAB","1318960.0","","2022-10-24","","0052w00000B4VTyAAN","2022-07-07T00:00:00.000Z","","","","1318960.0","2022 4","4","2022","Closed","Closed","true","false","false","0062w00000GjfEEAAZ","true","false","false","true","","0082w00000rVzQrAAK","","0052w00000B4VTyAAN","2023-01-12T23:34:04.000Z","","","","Partner","","Opportunity for Delgado355","","AE","","0052w00000BXX9tAAH","01s2w00000J2EzPAAV","100.0","0","0122w000001Ypd0AAC","Closed Won","2023-01-12T23:34:04.000Z","1969.0","","New Business"
"0012w00001Cq6zJAAR","117480.0","","2022-06-12","","0052w00000B4VTyAAN","2021-12-19T00:00:00.000Z","","","","117480.0","2022 2","2","2022","Closed","Closed","true","false","false","0062w00000GjfEGAAZ","true","false","false","true","","","","0052w00000B4VTyAAN","2023-01-12T23:33:57.000Z","","","","Seminar - Internal","","Opportunity for Watson358","","BDR","","0052w00000BXX9sAAH","01s2w00000J2EzPAAV","100.0","0","0122w000001Ypd0AAC","Closed Won","2023-01-12T23:33:57.000Z","979.0","","New Business"
"0012w00001Cq70EAAR","3039400.0","","2022-08-20","","0052w00000B4VTyAAN","2022-07-03T00:00:00.000Z","","","","3039400.0","2022 3","3","2022","Closed","Closed","true","false","false","0062w00000GjfEHAAZ","true","false","false","true","","0082w00000rVzPmAAK","","0052w00000B4VTyAAN","2023-01-12T23:34:06.000Z","","","","Advertisement","","Opportunity for Bryant359","","AE","","0052w00000BXXA3AAP","01s2w00000J2EzPAAV","100.0","0","0122w000001Ypd0AAC","Closed Won","2023-01-12T23:34:06.000Z","5344.0","","New Business / Add-on"
"0012w00001Cq7A8AAJ","1595250.0","","2023-06-06","","0052w00000B4VTyAAN","2022-10-11T00:00:00.000Z","","","","319050.0","2023 2","2","2023","Pipeline","Pipeline","true","true","false","0062w00000GjfEIAAZ","false","false","false","false","2023-01-12","0082w00000rVzQsAAK","","0052w00000B4VTyAAN","2023-01-12T23:34:06.000Z","","","","Word of mouth","","Opportunity for Wise361","","Marketing","","0052w00000BXX9nAAH","01s2w00000J2EzPAAV","20.0","0","0122w000001Ypd0AAC","Needs Analysis","2023-01-12T23:34:13.000Z","2097.0","","New Business"
"0012w00001Cq75wAAB","1148850.0","","2022-11-24","","0052w00000B4VTyAAN","2022-07-07T00:00:00.000Z","","","","1148850.0","2022 4","4","2022","Closed","Closed","true","false","false","0062w00000GjfEJAAZ","true","false","false","true","","0082w00000rVzLlAAK","","0052w00000B4VTyAAN","2023-01-12T23:34:01.000Z","","","","Employee Referral","","Opportunity for Hunt362","","Marketing","","0052w00000BXX9sAAH","01s2w00000J2EzPAAV","100.0","0","0122w000001Ypd0AAC","Closed Won","2023-01-12T23:34:01.000Z","1745.0","","New Business"
"0012w00001Cq7CKAAZ","788800.0","","2023-02-21","","0052w00000B4VTyAAN","2022-12-05T00:00:00.000Z","","","","552160.0","2023 1","1","2023","BestCase","Best Case","true","true","false","0062w00000GjfEKAAZ","false","false","false","false","2022-12-23","","","0052w00000B4VTyAAN","2023-01-12T23:33:55.000Z","","","","Seminar - Internal","","Opportunity for Scott363","","BDR","","0052w00000BXXA1AAP","01s2w00000J2EzPAAV","70.0","0","0122w000001Ypd0AAC","Perception Analysis","2023-01-12T23:34:13.000Z","1972.0","","New Business / Add-on"
"0012w00001Cq71DAAR","87240.0","","2022-12-15","","0052w00000B4VTyAAN","2022-06-12T00:00:00.000Z","","","","87240.0","2022 4","4","2022","Closed","Closed","true","false","false","0062w00000GjfGJAAZ","true","false","false","true","2023-02-11","","","0052w00000B4VTyAAN","2023-01-12T23:34:04.000Z","","","","Employee Referral","","Opportunity for Ramirez108","","AE","","0052w00000BXX9mAAH","01s2w00000J2EzPAAV","100.0","0","0122w000001Ypd0AAC","Closed Won","2023-01-12T23:34:15.000Z","727.0","","New Business"
"0012w00001Cq7EDAAZ","1193160.0","","2022-08-03","","0052w00000B4VTyAAN","2022-07-09T00:00:00.000Z","","","","1193160.0","2022 3","3","2022","Closed","Closed","true","false","false","0062w00000GjfGKAAZ","true","false","false","true","","0082w00000rVzPxAAK","","0052w00000B4VTyAAN","2023-01-12T23:34:03.000Z","","","","Employee Referral","","Opportunity for Jones110","","Marketing","","0052w00000BXX9pAAH","01s2w00000J2EzPAAV","100.0","0","0122w000001Ypd0AAC","Closed Won","2023-01-12T23:34:03.000Z","929.0","","New Business / Add-on"
"0012w00001Cq6yyAAB","1402500.0","","2022-06-04","","0052w00000B4VTyAAN","2022-03-29T00:00:00.000Z","","","","1402500.0","2022 2","2","2022","Closed","Closed","true","false","false","0062w00000GjfGLAAZ","true","false","false","true","","","","0052w00000B4VTyAAN","2023-01-12T23:34:01.000Z","","","","Word of mouth","","Opportunity for Adkins111","","AE","","0052w00000BXX9oAAH","01s2w00000J2EzPAAV","100.0","0","0122w000001Ypd0AAC","Closed Won","2023-01-12T23:34:01.000Z","1275.0","","Existing Business"
"0012w00001Cq6yVAAR","1817900.0","","2023-01-02","","0052w00000B4VTyAAN","2022-11-23T00:00:00.000Z","","","","1817900.0","2023 1","1","2023","Closed","Closed","true","true","true","0062w00000GjfGMAAZ","true","false","false","true","2023-01-19","0082w00000rVzRnAAK","","0052w00000B4VTyAAN","2023-01-12T23:34:04.000Z","","","","Partner","","Opportunity for Lynch113","","AE","","0052w00000BXX9rAAH","01s2w00000J2EzPAAV","100.0","0","0122w000001Ypd0AAC","Closed Won","2023-01-12T23:34:13.000Z","1510.0","","New Business"
"0012w00001Cq778AAB","195360.0","","2022-06-14","","0052w00000B4VTyAAN","2021-12-07T00:00:00.000Z","","","","0.0","2022 2","2","2022","Omitted","Omitted","true","false","false","0062w00000GjfGNAAZ","true","false","false","false","","","","0052w00000B4VTyAAN","2023-01-12T23:34:06.000Z","","","","Public Relations","","Opportunity for Peterson119","","Marketing","","0052w00000BXX9nAAH","01s2w00000J2EzPAAV","0.0","0","0122w000001Ypd0AAC","Closed Lost","2023-01-12T23:34:06.000Z","1628.0","","New Business / Add-on"
"0012w00001Cq7DdAAJ","1578500.0","","2022-06-28","","0052w00000B4VTyAAN","2022-01-08T00:00:00.000Z","","","","1578500.0","2022 2","2","2022","Closed","Closed","true","false","false","0062w00000GjfGOAAZ","true","false","false","true","","0082w00000rVzPyAAK","","0052w00000B4VTyAAN","2023-01-12T23:34:03.000Z","","","","Trade Show","","Opportunity for Carroll233","","Marketing","","0052w00000BXXA1AAP","01s2w00000J2EzPAAV","100.0","0","0122w000001Ypd0AAC","Closed Won","2023-01-12T23:34:03.000Z","2895.0","","New Business / Add-on"
"0012w00001Cq77lAAB","2734080.0","","2022-02-17","","0052w00000B4VTyAAN","2021-11-05T00:00:00.000Z","","","","2734080.0","2022 1","1","2022","Closed","Closed","true","false","false","0062w00000GjfGPAAZ","true","false","false","true","","0082w00000rVzRoAAK","","0052w00000B4VTyAAN","2023-01-12T23:34:06.000Z","","","","Word of mouth","","Opportunity for Murphy234","","AE","","0052w00000BXXA1AAP","01s2w00000J2EzPAAV","100.0","0","0122w000001Ypd0AAC","Closed Won","2023-01-12T23:34:06.000Z","5888.0","","Existing Business"
"0012w00001Cq731AAB","2250950.0","","2021-10-24","","0052w00000B4VTyAAN","2021-02-26T00:00:00.000Z","","","","2250950.0","2021 4","4","2021","Closed","Closed","true","false","false","0062w00000GjfGSAAZ","true","false","false","true","","0082w00000rVzPzAAK","","0052w00000B4VTyAAN","2023-01-12T23:34:01.000Z","","","","Seminar - Internal","","Opportunity for Willis238","","Alliances","","0052w00000BXX9pAAH","01s2w00000J2EzPAAV","100.0","0","0122w000001Ypd0AAC","Closed Won","2023-01-12T23:34:01.000Z","1942.0","","New Business"
"0012w00001Cq72zAAB","1214160.0","","2022-07-07","","0052w00000B4VTyAAN","2022-03-27T00:00:00.000Z","","","","0.0","2022 3","3","2022","Omitted","Omitted","true","false","false","0062w00000GjfGWAAZ","true","false","false","false","","0082w00000rVzOTAA0","","0052w00000B4VTyAAN","2023-01-12T23:34:04.000Z","","","","Partner","","Opportunity for Padilla247","","AE","","0052w00000BXX9pAAH","01s2w00000J2EzPAAV","0.0","0","0122w000001Ypd0AAC","Closed Lost","2023-01-12T23:34:04.000Z","2670.0","","New Business / Add-on"
"0012w00001Cq71MAAR","2218900.0","","2022-09-24","","0052w00000B4VTyAAN","2022-07-26T00:00:00.000Z","","","","0.0","2022 3","3","2022","Omitted","Omitted","true","false","false","0062w00000GjfGZAAZ","true","false","false","false","","0082w00000rVzMAAA0","","0052w00000B4VTyAAN","2023-01-12T23:34:03.000Z","","","","Advertisement","","Opportunity for Cooper256","","BDR","","0052w00000BXX9pAAH","01s2w00000J2EzPAAV","0.0","0","0122w000001Ypd0AAC","Closed Lost","2023-01-12T23:34:03.000Z","3218.0","","Existing Business"
"0012w00001Cq731AAB","3173450.0","","2022-12-26","","0052w00000B4VTyAAN","2022-11-04T00:00:00.000Z","","","","3173450.0","2022 4","4","2022","Closed","Closed","true","true","true","0062w00000GjfGaAAJ","true","false","false","true","2023-01-22","0082w00000rVzMBAA0","","0052w00000B4VTyAAN","2023-01-12T23:34:04.000Z","","","","Trade Show","","Opportunity for Campbell329","","AE","","0052w00000BXX9wAAH","01s2w00000J2EzPAAV","100.0","0","0122w000001Ypd0AAC","Closed Won","2023-01-12T23:34:13.000Z","3485.0","","New Business"
"0012w00001Cq6zTAAR","276000.0","","2022-04-19","","0052w00000B4VTyAAN","2021-11-17T00:00:00.000Z","","","","0.0","2022 2","2","2022","Omitted","Omitted","true","false","false","0062w00000GjfGbAAJ","true","false","false","false","","0082w00000rVzQ0AAK","","0052w00000B4VTyAAN","2023-01-12T23:34:03.000Z","","","","Advertisement","","Opportunity for Reynolds330","","BDR","","0052w00000BXX9oAAH","01s2w00000J2EzPAAV","0.0","0","0122w000001Ypd0AAC","Closed Lost","2023-01-12T23:34:03.000Z","2954.0","","New Business / Add-on"
"0012w00001Cq6zoAAB","313425.0","","2023-01-15","","0052w00000B4VTyAAN","2022-10-29T00:00:00.000Z","","","","156712.5","2023 1","1","2023","Pipeline","Pipeline","true","true","true","0062w00000GjfGcAAJ","false","false","false","false","2023-01-15","","","0052w00000B4VTyAAN","2023-01-12T23:34:06.000Z","","","","Employee Referral","","Opportunity for Fletcher332","","AE","","0052w00000BXX9wAAH","01s2w00000J2EzPAAV","50.0","0","0122w000001Ypd0AAC","Value Proposition","2023-01-12T23:34:13.000Z","1393.0","","New Business / Add-on"
"0012w00001Cq71xAAB","389120.0","","2023-04-05","","0052w00000B4VTyAAN","2022-12-21T00:00:00.000Z","","","","38912.0","2023 2","2","2023","Pipeline","Pipeline","true","true","false","0062w00000GjfGdAAJ","false","false","false","false","2023-01-05","0082w00000rVzOUAA0","","0052w00000B4VTyAAN","2023-01-12T23:34:01.000Z","","","","Employee Referral","","Opportunity for Shaw336","","AE","","0052w00000BXX9qAAH","01s2w00000J2EzPAAV","10.0","0","0122w000001Ypd0AAC","Qualification","2023-01-12T23:34:13.000Z","2364.0","","New Business / Add-on"
"0012w00001Cq758AAB","1241600.0","","2022-04-27","","0052w00000B4VTyAAN","2022-03-07T00:00:00.000Z","","","","1241600.0","2022 2","2","2022","Closed","Closed","true","false","false","0062w00000GjfGeAAJ","true","false","false","true","","0082w00000rVzMCAA0","","0052w00000B4VTyAAN","2023-01-12T23:34:01.000Z","","","","Partner","","Opportunity for Roy337","","AE","","0052w00000BXX9mAAH","01s2w00000J2EzPAAV","100.0","0","0122w000001Ypd0AAC","Closed Won","2023-01-12T23:34:01.000Z","1203.0","","New Business"
"0012w00001Cq76dAAB","5280.0","","2022-09-21","","0052w00000B4VTyAAN","2022-09-03T00:00:00.000Z","","","","5280.0","2022 3","3","2022","Closed","Closed","true","false","false","0062w00000GjfGfAAJ","true","false","false","true","","","","0052w00000B4VTyAAN","2023-01-12T23:33:57.000Z","","","","Partner","","Opportunity for Brooks342","","BDR","","0052w00000BXX9nAAH","01s2w00000J2EzPAAV","100.0","0","0122w000001Ypd0AAC","Closed Won","2023-01-12T23:33:57.000Z","132.0","","New Business"
"0012w00001Cq7DCAAZ","3145700.0","","2022-10-09","","0052w00000B4VTyAAN","2022-06-30T00:00:00.000Z","","","","0.0","2022 4","4","2022","Omitted","Omitted","true","false","false","0062w00000GjfGgAAJ","true","false","false","false","","0082w00000rVzRpAAK","","0052w00000B4VTyAAN","2023-01-12T23:34:06.000Z","","","","Partner","","Opportunity for Gomez345","","BDR","","0052w00000BXX9zAAH","01s2w00000J2EzPAAV","0.0","0","0122w000001Ypd0AAC","Closed Lost","2023-01-12T23:34:06.000Z","5735.0","","New Business"
"0012w00001Cq72pAAB","157900.0","","2022-01-24","","0052w00000B4VTyAAN","2021-07-27T00:00:00.000Z","","","","0.0","2022 1","1","2022","Omitted","Omitted","true","false","false","0062w00000GjfGiAAJ","true","false","false","false","","0082w00000rVzQ1AAK","","0052w00000B4VTyAAN","2023-01-12T23:34:06.000Z","","","","Trade Show","","Opportunity for Fuller347","","AE","","0052w00000BXXA2AAP","01s2w00000J2EzPAAV","0.0","0","0122w000001Ypd0AAC","Closed Lost","2023-01-12T23:34:06.000Z","1875.0","","New Business"
"0012w00001Cq75aAAB","624510.0","","2023-04-09","","0052w00000B4VTyAAN","2022-10-01T00:00:00.000Z","","","","62451.0","2023 2","2","2023","Pipeline","Pipeline","true","true","false","0062w00000GjfGjAAJ","false","false","false","false","2023-01-21","0082w00000rVzOVAA0","","0052w00000B4VTyAAN","2023-01-12T23:34:06.000Z","","","","Partner","","Opportunity for Christensen684","","Marketing","","0052w00000BXX9pAAH","01s2w00000J2EzPAAV","10.0","0","0122w000001Ypd0AAC","Qualification","2023-01-12T23:34:13.000Z","2002.0","","Existing Business"
"0012w00001Cq764AAB","2135800.0","","2022-08-30","","0052w00000B4VTyAAN","2022-05-20T00:00:00.000Z","","","","0.0","2022 3","3","2022","Omitted","Omitted","true","false","false","0062w00000GjfGkAAJ","true","false","false","false","","","","0052w00000B4VTyAAN","2023-01-12T23:34:04.000Z","","","","Employee Referral","","Opportunity for Murray689","","Marketing","","0052w00000BXX9wAAH","01s2w00000J2EzPAAV","0.0","0","0122w000001Ypd0AAC","Closed Lost","2023-01-12T23:34:04.000Z","4805.0","","New Business"
"0012w00001Cq74wAAB","2004540.0","","2022-02-17","","0052w00000B4VTyAAN","2021-08-29T00:00:00.000Z","","","","2004540.0","2022 1","1","2022","Closed","Closed","true","false","false","0062w00000GjfGlAAJ","true","false","false","true","","0082w00000rVzOWAA0","","0052w00000B4VTyAAN","2023-01-12T23:34:06.000Z","","","","Employee Referral","","Opportunity for Haynes693","","Marketing","","0052w00000BXX9pAAH","01s2w00000J2EzPAAV","100.0","0","0122w000001Ypd0AAC","Closed Won","2023-01-12T23:34:06.000Z","2666.0","","New Business"
"0012w00001Cq795AAB","452200.0","","2022-09-26","","0052w00000B4VTyAAN","2022-03-31T00:00:00.000Z","","","","0.0","2022 3","3","2022","Omitted","Omitted","true","false","false","0062w00000GjfGmAAJ","true","false","false","false","","","","0052w00000B4VTyAAN","2023-01-12T23:34:06.000Z","","","","Employee Referral","","Opportunity for Gomez694","","Marketing","","0052w00000BXX9rAAH","01s2w00000J2EzPAAV","0.0","0","0122w000001Ypd0AAC","Closed Lost","2023-01-12T23:34:06.000Z","3661.0","","New Business / Add-on"
"0012w00001Cq7EBAAZ","538820.0","","2022-11-03","","0052w00000B4VTyAAN","2022-10-10T00:00:00.000Z","","","","0.0","2022 4","4","2022","Omitted","Omitted","true","false","false","0062w00000GjfGnAAJ","true","false","false","false","","0082w00000rVzSDAA0","","0052w00000B4VTyAAN","2023-01-12T23:34:06.000Z","","","","Word of mouth","","Opportunity for McKenzie695","","BDR","","0052w00000BXXA2AAP","01s2w00000J2EzPAAV","0.0","0","0122w000001Ypd0AAC","Closed Lost","2023-01-12T23:34:06.000Z","1238.0","","New Business"
"0012w00001Cq71BAAR","137400.0","","2023-02-07","","0052w00000B4VTyAAN","2023-01-02T00:00:00.000Z","","","","123660.0","2023 1","1","2023","Forecast","Commit","true","true","true","0062w00000GjfGoAAJ","false","false","false","false","2022-12-26","","","0052w00000B4VTyAAN","2023-01-12T23:34:04.000Z","","","","Employee Referral","","Opportunity for Malone696","","BDR","","0052w00000BXX9tAAH","01s2w00000J2EzPAAV","90.0","0","0122w000001Ypd0AAC","Negotiation/Review","2023-01-12T23:34:13.000Z","687.0","","New Business / Add-on"
"0012w00001Cq7CyAAJ","2669875.0","","2022-11-20","","0052w00000B4VTyAAN","2022-05-23T00:00:00.000Z","","","","0.0","2022 4","4","2022","Omitted","Omitted","true","false","false","0062w00000GjfGqAAJ","true","false","false","false","","0082w00000rVzMDAA0","","0052w00000B4VTyAAN","2023-01-12T23:34:04.000Z","","","","Trade Show","","Opportunity for Ingram699","","Marketing","","0052w00000BXXA0AAP","01s2w00000J2EzPAAV","0.0","0","0122w000001Ypd0AAC","Closed Lost","2023-01-12T23:34:04.000Z","3851.0","","Existing Business"
"0012w00001Cq70kAAB","771200.0","","2022-01-04","","0052w00000B4VTyAAN","2021-09-11T00:00:00.000Z","","","","0.0","2022 1","1","2022","Omitted","Omitted","true","false","false","0062w00000GjfGvAAJ","true","false","false","false","","","","0052w00000B4VTyAAN","2023-01-12T23:34:04.000Z","","","","Web","","Opportunity for Vaughn1076","","BDR","","0052w00000BXX9rAAH","01s2w00000J2EzPAAV","0.0","0","0122w000001Ypd0AAC","Closed Lost","2023-01-12T23:34:04.000Z","1928.0","","New Business"
